,ObservationDate,Confirmed,People_Fully_Vaccinated
0,2020-12-20,76818746.0,0.0
1,2020-12-21,77367360.0,0.0
2,2020-12-22,78016498.0,0.0
3,2020-12-23,78710560.0,0.0
4,2020-12-24,79377452.0,0.0
5,2020-12-25,79842561.0,0.0
6,2020-12-26,80355013.0,0.0
7,2020-12-27,80792862.0,0.0
8,2020-12-28,81288958.0,0.0
9,2020-12-29,81951408.0,0.0
10,2020-12-30,82711614.0,0.0
11,2020-12-31,83434788.0,0.0
12,2021-01-01,83967281.0,0.0
13,2021-01-02,84592800.0,0.0
14,2021-01-03,85125734.0,44004.0
15,2021-01-04,85678943.0,2.0
16,2021-01-05,86417576.0,2.0
17,2021-01-06,87199144.0,2.0
18,2021-01-07,88078996.0,2178.0
19,2021-01-08,88879075.0,4061.0
20,2021-01-09,89641642.0,5910.0
21,2021-01-10,90230586.0,1044696.0
22,2021-01-11,90849337.0,855451.0
23,2021-01-12,91554128.0,923363.0
24,2021-01-13,92301453.0,1010945.0
25,2021-01-14,93056051.0,2441971.0
26,2021-01-15,93821011.0,2764882.0
27,2021-01-16,94459684.0,1188482.0
28,2021-01-17,94987791.0,1303914.0
29,2021-01-18,95502731.0,1477934.0
30,2021-01-19,96109671.0,3725421.0
31,2021-01-20,96801420.0,4142300.0
32,2021-01-21,97457367.0,4692381.0
33,2021-01-22,98115568.0,5234773.0
34,2021-01-23,98683024.0,5607708.0
35,2021-01-24,99128580.0,6109253.0
36,2021-01-25,99624931.0,6592699.0
37,2021-01-26,100179965.0,7134720.0
38,2021-01-27,100777192.0,7818388.0
39,2021-01-28,101391159.0,8730972.0
40,2021-01-29,101980811.0,9377903.0
41,2021-01-30,102495590.0,10226343.0
42,2021-01-31,102877781.0,11132202.0
43,2021-02-01,103323639.0,11871822.0
44,2021-02-02,103780821.0,12353192.0
45,2021-02-03,104302543.0,13433793.0
46,2021-02-04,104768698.0,14585944.0
47,2021-02-05,105303224.0,14830935.0
48,2021-02-06,105675241.0,16008441.0
49,2021-02-07,106073052.0,18001377.0
50,2021-02-08,106388728.0,18306639.0
51,2021-02-09,106816079.0,19621675.0
52,2021-02-10,107251222.0,22067180.0
53,2021-02-11,107692130.0,22284125.0
54,2021-02-12,108121193.0,22736469.0
55,2021-02-13,108494139.0,24494954.0
56,2021-02-14,108787714.0,27070658.0
57,2021-02-15,109071066.0,13573251.0
58,2021-02-16,109421653.0,29217033.0
59,2021-02-17,109816734.0,30788522.0
60,2021-02-18,110219933.0,32539522.0
61,2021-02-19,110659320.0,32890006.0
62,2021-02-20,111029578.0,35065136.0
63,2021-02-21,111343260.0,37272222.0
64,2021-02-22,111632037.0,38151874.0
65,2021-02-23,112019890.0,41842414.0
66,2021-02-24,112464430.0,42359354.0
67,2021-02-25,112911535.0,43514673.0
68,2021-02-26,113325717.0,45521878.0
69,2021-02-27,113694842.0,46345540.0
