,ObservationDate,People_Fully_Vaccinated
0,12/20/20,0
1,12/21/20,0
2,12/22/20,0
3,12/23/20,0
4,12/24/20,0
5,12/25/20,0
6,12/26/20,0
7,12/27/20,0
8,12/28/20,0
9,12/29/20,0
10,12/30/20,0
11,12/31/20,0
12,1/1/21,0
13,1/2/21,0
14,1/3/21,0
15,1/4/21,0
16,1/5/21,0
17,1/6/21,0
18,1/7/21,0
19,1/8/21,0
20,1/9/21,0
21,1/10/21,0
22,1/11/21,0
23,1/12/21,1566885
24,1/13/21,2057420
25,1/14/21,2057420
26,1/15/21,3221048
27,1/16/21,3221048
28,1/17/21,3221048
29,1/18/21,3221048
30,1/19/21,4046248
31,1/20/21,4322838
32,1/21/21,4789922
33,1/22/21,5513906
34,1/23/21,6055730
35,1/24/21,6433672
36,1/25/21,6692780
37,1/26/21,6963842
38,1/27/21,7602106
39,1/28/21,8526112
40,1/29/21,9561776
41,1/30/21,10519386
42,1/31/21,11314284
43,2/1/21,11855694
44,2/2/21,12129584
45,2/3/21,12873862
46,2/4/21,13852100
47,2/5/21,15007728
48,2/6/21,16634360
49,2/7/21,18294370
50,2/8/21,19036030
51,2/9/21,19680858
52,2/10/21,20939028
53,2/11/21,22377564
54,2/12/21,24171660
55,2/13/21,26164344
56,2/14/21,28154880
57,2/15/21,28154880
58,2/16/21,30030868
59,2/17/21,30943072
60,2/18/21,32324716
61,2/19/21,34912337
62,2/20/21,36662603
63,2/21/21,38646621
64,2/22/21,39830639
65,2/23/21,40753622
66,2/24/21,42237364
67,2/25/21,44096712
68,2/26/21,46252199
69,2/27/21,48493135
70,2/28/21,50699588
71,3/1/21,52096977
72,3/2/21,53501643
73,3/3/21,55126552
74,3/4/21,56841037
75,3/5/21,58691006
76,3/6/21,60883263
77,3/7/21,62744094
78,3/8/21,64390483
79,3/9/21,65646672
80,3/10/21,67289666
81,3/11/21,69252556
82,3/12/21,71578210
83,3/13/21,75543687
84,3/14/21,76609480
85,3/15/21,78440516
86,3/16/21,79872266
87,3/17/21,81800777
88,3/18/21,83829418
89,3/19/21,85777975
90,3/20/21,88020607
91,3/21/21,90272606
92,3/22/21,91843540
93,3/23/21,93096352
94,3/24/21,94791129
95,3/25/21,96938836
96,3/26/21,99546515
97,3/27/21,102491174
98,3/28/21,105451667
99,3/29/21,107528783
100,3/30/21,109153459
101,3/31/21,111562791
102,4/1/21,114583082
103,4/2/21,118422715
104,4/3/21,122216549
105,4/4/21,125385077
106,4/5/21,127355746
107,4/6/21,128602626
108,4/7/21,131454029
109,4/8/21,135064895
110,4/9/21,139105415
111,4/10/21,144145651
112,4/11/21,148071014
113,4/12/21,150979224
114,4/13/21,153501691
115,4/14/21,156266663
116,4/15/21,159943303
117,4/16/21,164207620
118,4/17/21,167974595
119,4/18/21,171603046
120,4/19/21,173830334
121,4/20/21,175551679
122,4/21/21,178322476
123,4/22/21,181665228
124,4/23/21,185563352
125,4/24/21,189409819
126,4/25/21,192837765
127,4/26/21,195081051
128,4/27/21,196802025
129,4/28/21,199426393
130,4/29/21,202713598
131,4/30/21,206220484
132,5/1/21,210278776
133,5/2/21,213016060
134,5/3/21,214533524
135,5/4/21,215826677
136,5/5/21,218205509
137,5/6/21,221403752
138,5/7/21,225311936
