,ObservationDate,Confirmed
0,2020-01-30,1.0
1,2020-01-31,1.0
2,2020-02-01,1.0
3,2020-02-02,2.0
4,2020-02-03,3.0
5,2020-02-04,3.0
6,2020-02-05,3.0
7,2020-02-06,3.0
8,2020-02-07,3.0
9,2020-02-08,3.0
10,2020-02-09,3.0
11,2020-02-10,3.0
12,2020-02-11,3.0
13,2020-02-12,3.0
14,2020-02-13,3.0
15,2020-02-14,3.0
16,2020-02-15,3.0
17,2020-02-16,3.0
18,2020-02-17,3.0
19,2020-02-18,3.0
20,2020-02-19,3.0
21,2020-02-20,3.0
22,2020-02-21,3.0
23,2020-02-22,3.0
24,2020-02-23,3.0
25,2020-02-24,3.0
26,2020-02-25,3.0
27,2020-02-26,3.0
28,2020-02-27,3.0
29,2020-02-28,3.0
30,2020-02-29,3.0
31,2020-03-01,3.0
32,2020-03-02,5.0
33,2020-03-03,5.0
34,2020-03-04,28.0
35,2020-03-05,30.0
36,2020-03-06,31.0
37,2020-03-07,34.0
38,2020-03-08,39.0
39,2020-03-09,43.0
40,2020-03-10,56.0
41,2020-03-11,62.0
42,2020-03-12,73.0
43,2020-03-13,82.0
44,2020-03-14,102.0
45,2020-03-15,113.0
46,2020-03-16,119.0
47,2020-03-17,142.0
48,2020-03-18,156.0
49,2020-03-19,194.0
50,2020-03-20,244.0
51,2020-03-21,330.0
52,2020-03-22,396.0
53,2020-03-23,499.0
54,2020-03-24,536.0
55,2020-03-25,657.0
56,2020-03-26,727.0
57,2020-03-27,887.0
58,2020-03-28,987.0
59,2020-03-29,1024.0
60,2020-03-30,1251.0
61,2020-03-31,1397.0
62,2020-04-01,1998.0
63,2020-04-02,2543.0
64,2020-04-03,2567.0
65,2020-04-04,3082.0
66,2020-04-05,3588.0
67,2020-04-06,4778.0
68,2020-04-07,5311.0
69,2020-04-08,5916.0
70,2020-04-09,6725.0
71,2020-04-10,7598.0
72,2020-04-11,8446.0
73,2020-04-12,9205.0
74,2020-04-13,10453.0
75,2020-04-14,11487.0
76,2020-04-15,12322.0
77,2020-04-16,13430.0
78,2020-04-17,14352.0
79,2020-04-18,15722.0
80,2020-04-19,17615.0
81,2020-04-20,18539.0
82,2020-04-21,20080.0
83,2020-04-22,21370.0
84,2020-04-23,23077.0
85,2020-04-24,24530.0
86,2020-04-25,26283.0
87,2020-04-26,27890.0
88,2020-04-27,29451.0
89,2020-04-28,31324.0
90,2020-04-29,33062.0
91,2020-04-30,34863.0
92,2020-05-01,37257.0
93,2020-05-02,39699.0
94,2020-05-03,42505.0
95,2020-05-04,46437.0
96,2020-05-05,49400.0
97,2020-05-06,52987.0
98,2020-05-07,56351.0
99,2020-05-08,59695.0
100,2020-05-09,62808.0
101,2020-05-10,67161.0
102,2020-05-11,70768.0
103,2020-05-12,74292.0
104,2020-05-13,78055.0
105,2020-05-14,81997.0
106,2020-05-15,85784.0
107,2020-05-16,90648.0
108,2020-05-17,95698.0
109,2020-05-18,100328.0
110,2020-05-19,106475.0
111,2020-05-20,112028.0
112,2020-05-21,118226.0
113,2020-05-22,124794.0
114,2020-05-23,131423.0
115,2020-05-24,138536.0
116,2020-05-25,144950.0
117,2020-05-26,150793.0
118,2020-05-27,158086.0
119,2020-05-28,165386.0
120,2020-05-29,173491.0
121,2020-05-30,181827.0
122,2020-05-31,190609.0
123,2020-06-01,198370.0
124,2020-06-02,207191.0
125,2020-06-03,216824.0
126,2020-06-04,226713.0
127,2020-06-05,236184.0
128,2020-06-06,246622.0
129,2020-06-07,257486.0
130,2020-06-08,265928.0
131,2020-06-09,276146.0
132,2020-06-10,276583.0
133,2020-06-11,297535.0
134,2020-06-12,297535.0
135,2020-06-13,308993.0
136,2020-06-14,320922.0
137,2020-06-15,343091.0
138,2020-06-16,354065.0
139,2020-06-17,366946.0
140,2020-06-18,380532.0
141,2020-06-19,395048.0
142,2020-06-20,410461.0
143,2020-06-21,425282.0
144,2020-06-22,440215.0
145,2020-06-23,456183.0
146,2020-06-24,473105.0
147,2020-06-25,490401.0
148,2020-06-26,508953.0
149,2020-06-27,528859.0
150,2020-06-28,548318.0
151,2020-06-29,566840.0
152,2020-06-30,585493.0
153,2020-07-01,604641.0
154,2020-07-02,625544.0
155,2020-07-03,648315.0
156,2020-07-04,673165.0
157,2020-07-05,697413.0
158,2020-07-06,719664.0
159,2020-07-07,742417.0
160,2020-07-08,767296.0
161,2020-07-09,793802.0
162,2020-07-10,820916.0
163,2020-07-11,849522.0
164,2020-07-12,878254.0
165,2020-07-13,906752.0
166,2020-07-14,936181.0
167,2020-07-15,968857.0
168,2020-07-16,1003832.0
169,2020-07-17,1039084.0
170,2020-07-18,1077781.0
171,2020-07-19,1118206.0
172,2020-07-20,1155338.0
173,2020-07-21,1193078.0
174,2020-07-22,1238798.0
175,2020-07-23,1288108.0
176,2020-07-24,1337024.0
177,2020-07-25,1385635.0
178,2020-07-26,1435616.0
179,2020-07-27,1480073.0
180,2020-07-28,1483156.0
181,2020-07-29,1581963.0
