,ObservationDate,Confirmed,People_Fully_Vaccinated
333,2020-12-20,17954675.0,0.0
334,2020-12-21,18153724.0,0.0
335,2020-12-22,18351735.0,0.0
336,2020-12-23,18581353.0,0.0
337,2020-12-24,18775557.0,0.0
338,2020-12-25,18873203.0,0.0
339,2020-12-26,19099491.0,0.0
340,2020-12-27,19255126.0,0.0
341,2020-12-28,19429760.0,0.0
342,2020-12-29,19630012.0,0.0
343,2020-12-30,19863696.0,0.0
344,2020-12-31,20099363.0,0.0
345,2021-01-01,20252991.0,0.0
346,2021-01-02,20553301.0,0.0
347,2021-01-03,20762047.0,0.0
348,2021-01-04,20946329.0,0.0
349,2021-01-05,21181440.0,0.0
350,2021-01-06,21436884.0,0.0
351,2021-01-07,21715174.0,0.0
352,2021-01-08,22010389.0,0.0
353,2021-01-09,22271084.0,0.0
354,2021-01-10,22484332.0,0.0
355,2021-01-11,22699326.0,0.0
356,2021-01-12,22926246.0,1566885.0
357,2021-01-13,23156608.0,2057420.0
358,2021-01-14,23392315.0,0.0
359,2021-01-15,23635046.0,3221048.0
360,2021-01-16,23836726.0,0.0
361,2021-01-17,24014508.0,0.0
362,2021-01-18,24157924.0,0.0
363,2021-01-19,24334630.0,4046248.0
364,2021-01-20,24517866.0,4322838.0
365,2021-01-21,24711684.0,4789922.0
366,2021-01-22,24902437.0,5513906.0
367,2021-01-23,25073050.0,6055730.0
368,2021-01-24,25204112.0,6433672.0
369,2021-01-25,25356081.0,6692780.0
370,2021-01-26,25503621.0,6963842.0
371,2021-01-27,25657566.0,7602106.0
372,2021-01-28,25826176.0,8526112.0
373,2021-01-29,25992744.0,9561776.0
374,2021-01-30,26135056.0,10519386.0
375,2021-01-31,26247053.0,11314284.0
376,2021-02-01,26382255.0,11855694.0
377,2021-02-02,26497588.0,12129584.0
378,2021-02-03,26619229.0,12873862.0
379,2021-02-04,26743204.0,13852100.0
380,2021-02-05,26877601.0,15007728.0
381,2021-02-06,26981588.0,16634360.0
382,2021-02-07,27071236.0,18294370.0
383,2021-02-08,27161551.0,19036030.0
384,2021-02-09,27257183.0,19680858.0
385,2021-02-10,27352360.0,20939028.0
386,2021-02-11,27458120.0,22377564.0
387,2021-02-12,27557758.0,24171660.0
388,2021-02-13,27644880.0,26164344.0
389,2021-02-14,27709901.0,28154880.0
390,2021-02-15,27764087.0,14077440.0
391,2021-02-16,27826806.0,30030868.0
392,2021-02-17,27896924.0,30943072.0
393,2021-02-18,27966848.0,32324716.0
394,2021-02-19,28046145.0,34912337.0
395,2021-02-20,28117670.0,36662603.0
396,2021-02-21,28174750.0,38646621.0
397,2021-02-22,28230970.0,39830639.0
398,2021-02-23,28303233.0,40753622.0
399,2021-02-24,28377965.0,42237364.0
400,2021-02-25,28455466.0,44096712.0
401,2021-02-26,28532812.0,46252199.0
402,2021-02-27,28597387.0,48493135.0
403,2021-02-28,28648744.0,50699588.0
404,2021-03-01,28706973.0,52096977.0
405,2021-03-02,28764033.0,53501643.0
406,2021-03-03,28831226.0,55126552.0
407,2021-03-04,28899277.0,56841037.0
408,2021-03-05,28965728.0,58691006.0
409,2021-03-06,29023931.0,60883263.0
410,2021-03-07,29064938.0,62744094.0
411,2021-03-08,29109974.0,64390483.0
412,2021-03-09,29167616.0,65646672.0
413,2021-03-10,29225536.0,67289666.0
414,2021-03-11,29288010.0,69252556.0
415,2021-03-12,29349533.0,71578210.0
416,2021-03-13,29402465.0,75543687.0
417,2021-03-14,29440686.0,76609480.0
418,2021-03-15,29497352.0,78440516.0
419,2021-03-16,29551309.0,79872266.0
420,2021-03-17,29610445.0,81800777.0
421,2021-03-18,29670983.0,83829418.0
422,2021-03-19,29732612.0,85777975.0
423,2021-03-20,29787986.0,88020607.0
424,2021-03-21,29821754.0,90272606.0
425,2021-03-22,29873347.0,91843540.0
426,2021-03-23,29926950.0,93096352.0
427,2021-03-24,30013910.0,94791129.0
428,2021-03-25,30081375.0,96938836.0
429,2021-03-26,30158696.0,99546515.0
430,2021-03-27,30221396.0,102491174.0
431,2021-03-28,30264493.0,105451667.0
432,2021-03-29,30333922.0,107528783.0
433,2021-03-30,30395171.0,109153459.0
434,2021-03-31,30462210.0,111562791.0
435,2021-04-01,30541255.0,114583082.0
436,2021-04-02,30611086.0,118422715.0
437,2021-04-03,30674153.0,122216549.0
438,2021-04-04,30709125.0,125385077.0
439,2021-04-05,30786804.0,127355746.0
440,2021-04-06,30847348.0,128602626.0
441,2021-04-07,30922386.0,131454029.0
442,2021-04-08,31002264.0,135064895.0
443,2021-04-09,31084962.0,139105415.0
444,2021-04-10,31151497.0,144145651.0
445,2021-04-11,31197877.0,148071014.0
446,2021-04-12,31268107.0,150979224.0
447,2021-04-13,31345985.0,153501691.0
448,2021-04-14,31421360.0,156266663.0
449,2021-04-15,31495649.0,159943303.0
450,2021-04-16,31575640.0,164207620.0
451,2021-04-17,31628013.0,167974595.0
452,2021-04-18,31670031.0,171603046.0
453,2021-04-19,31737964.0,173830334.0
454,2021-04-20,31799237.0,175551679.0
455,2021-04-21,31862094.0,178322476.0
456,2021-04-22,31929351.0,181665228.0
457,2021-04-23,31991750.0,185563352.0
458,2021-04-24,32045113.0,189409819.0
459,2021-04-25,32077178.0,192837765.0
460,2021-04-26,32124869.0,195081051.0
461,2021-04-27,32175725.0,196802025.0
462,2021-04-28,32230850.0,199426393.0
463,2021-04-29,32289049.0,202713598.0
464,2021-04-30,32346971.0,206220484.0
465,2021-05-01,32392274.0,210278776.0
466,2021-05-02,32421534.0,213016060.0
